Symbol,PeriodType,MarketCap,FowardPeRatio,PeRatio,PegRatio,PsRatio,PbRatio,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio
LYFT,TTM,5187486179.0,14.43,206.833333,0.3067,0.88721,6.763205,4375356179.0,21.5362,0.7562
LYFT,2024-12-31 00:00:00,5392259714.0,15.9236,nan,nan,0.954806,8.222678,4615156714.0,38.8769,0.8452
LYFT,2024-09-30 00:00:00,5288842276.0,17.2414,nan,nan,0.997036,9.156139,4652386276.0,45.1386,0.9131
LYFT,2024-06-30 00:00:00,5689119323.0,24.3309,nan,2.0091,1.181843,11.770311,5163033323.0,29.9583,1.1032
LYFT,2024-03-31 00:00:00,7736258348.0,47.1698,nan,nan,1.693217,14.404599,7092892348.0,nan,1.6107
LYFT,2023-12-31 00:00:00,5890924491.0,40.0,nan,nan,1.299958,12.796828,5268776491.0,320.368265,1.2101
LYFT,2023-09-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,143.345575,nan
LYB,TTM,25067077865.0,12.1803,18.719807,1.4169,0.626892,2.011481,34615077865.0,9.5993,0.8589
LYB,2024-12-31 00:00:00,24063480000.0,8.2508,11.270106,0.9378,0.594393,1.754409,34062480000.0,7.3111,0.8362
LYB,2024-09-30 00:00:00,31143566045.0,10.2145,13.488045,0.8183,0.761834,2.315679,40857566045.0,8.4382,0.9956
LYB,2024-06-30 00:00:00,31149025391.0,11.6686,14.762346,1.7516,0.764037,2.395949,41409025391.0,9.0571,1.0153
LYB,2024-03-31 00:00:00,33192226759.0,11.9617,15.783951,1.8098,0.811134,2.573737,42803226759.0,9.2288,1.0413
LYB,2023-12-31 00:00:00,30840317376.0,9.8814,13.602289,nan,0.750136,2.336379,40510317376.0,8.4999,0.9789
LXP,TTM,2708868992.0,nan,70.461538,nan,7.450495,1.351545,4160279992.0,13.2849,11.606
LXP,2024-12-31 00:00:00,2391416888.0,nan,135.333333,nan,6.949206,1.192229,3889866888.0,39.3687,11.4219
LXP,2024-09-30 00:00:00,2959593264.0,nan,110.982276,nan,8.604041,1.450669,4466042264.0,44.6301,13.1194
LXP,2024-06-30 00:00:00,2684148750.0,nan,228.0,nan,7.77411,1.281499,4145973750.0,51.7186,12.1341
LXP,2024-03-31 00:00:00,2654491912.0,nan,112.75,nan,7.713781,1.241536,4082386912.0,14.9909,11.9893
LXP,2023-12-31 00:00:00,2902934984.0,nan,58.352941,nan,8.418064,1.346465,4335840984.0,43.5373,12.8033
LW,TTM,7561383347.0,14.556,20.870079,2.1639,1.210601,4.630931,11592483347.0,11.1028,1.8327
LW,2024-11-30 00:00:00,11017562724.0,31.0559,18.131455,3.3644,1.734682,5.998564,14958762724.0,11.6747,2.3169
LW,2024-08-31 00:00:00,8829504505.0,16.3934,12.433735,1.8872,1.393956,4.938754,12610804505.0,9.1909,1.9498
LW,2024-05-31 00:00:00,12684329058.0,14.771,11.756325,4.8249,1.968148,7.214383,16502829058.0,12.4147,2.5193
LW,2024-02-29 00:00:00,14758202679.0,15.528,13.256809,3.312,2.349933,8.849435,18309802679.0,13.6264,2.8853
LW,2023-11-30 00:00:00,14441163049.0,18.5874,14.392806,5.6461,2.4743,9.608226,17751163049.0,13.7446,3.0136
LVS,TTM,32260016275.0,16.8067,22.989796,0.9978,2.939389,11.185859,42362016275.0,10.4469,3.7495
LVS,2024-12-31 00:00:00,37237344502.0,18.2815,25.425743,0.7678,3.38671,10.869044,47041344502.0,11.2512,4.1567
LVS,2024-09-30 00:00:00,36496500000.0,17.331,23.633803,0.6836,3.325171,9.72203,45523500000.0,10.4436,3.9828
LVS,2024-06-30 00:00:00,32968336387.0,16.129,21.376812,0.6112,3.005653,8.238806,41969336387.0,9.8151,3.7436
LVS,2024-03-31 00:00:00,38518937655.0,17.8891,32.3125,0.7099,3.813199,9.353797,47442937655.0,12.2941,4.5741
LVS,2023-12-31 00:00:00,37073307042.0,16.8634,56.563218,1.2301,4.39785,8.138618,45893307042.0,15.7601,5.3526
LUV,TTM,17305703652.0,17.9211,38.421053,0.4245,0.683171,1.672049,16638703652.0,6.739,0.6054
LUV,2024-12-31 00:00:00,20163165302.0,21.5517,nan,0.5047,0.789657,1.936717,19876165302.0,10.6119,0.726
LUV,2024-09-30 00:00:00,17753022472.0,16.9205,227.923077,0.4467,0.703728,1.696419,16860022472.0,8.5802,0.6237
LUV,2024-06-30 00:00:00,17121839291.0,26.0417,44.703125,0.7811,0.686227,1.67927,15770839291.0,6.7426,0.5904
LUV,2024-03-31 00:00:00,17463074892.0,19.8413,38.407895,0.5739,0.716017,1.660777,15189074892.0,6.3526,0.5822
LUV,2023-12-31 00:00:00,17215812174.0,10.8108,35.654321,0.3756,0.725406,1.558466,14755812174.0,6.2898,0.58
LUV,2023-09-30 00:00:00,nan,nan,28.797872,nan,nan,nan,nan,nan,nan
LUNR,TTM,812185376.0,nan,nan,nan,2.003042,nan,766966376.0,nan,3.7615
LUNR,2024-09-30 00:00:00,644818330.0,nan,nan,nan,1.856802,nan,656323330.0,nan,4.1601
LUNR,2024-06-30 00:00:00,193127394.0,nan,7.246011,nan,0.759248,nan,186674394.0,nan,1.3894
LUNR,2024-03-31 00:00:00,319250368.0,nan,2.920434,nan,2.009242,nan,386428368.0,22.3874,4.8595
LUNR,2023-12-31 00:00:00,53726264.0,nan,0.911559,nan,0.616747,nan,65087264.0,2.5554,0.7486
LUNR,2023-09-30 00:00:00,76595162.0,nan,4.209507,nan,0.693455,nan,113784162.0,5.348823,1.3468
LUNR,2023-06-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,7.947588,nan
LUMN,TTM,5373136549.0,nan,nan,nan,0.399352,11.580036,21643136549.0,5.2814,1.6511
LUMN,2024-12-31 00:00:00,5388653026.0,nan,nan,nan,0.393842,15.756295,21568653026.0,10.7789,1.6222
LUMN,2024-09-30 00:00:00,7205435000.0,nan,nan,nan,0.510107,15.462307,24594435000.0,11.8242,1.7931
LUMN,2024-06-30 00:00:00,1116539348.0,nan,nan,nan,0.076723,2.217875,18495539348.0,nan,1.3109
LUMN,2024-03-31 00:00:00,1584969294.0,nan,nan,nan,0.105352,3.80074,19606969294.0,17.184022,1.3469
LUMN,2023-12-31 00:00:00,1846284331.0,nan,nan,nan,0.121593,0.831694,21726284331.0,-19.733228,1.464
LUMN,2023-09-30 00:00:00,nan,7.3584,nan,nan,nan,nan,nan,22.172373,nan
LUMN,2023-06-30 00:00:00,nan,11.4155,nan,nan,nan,nan,nan,nan,nan
LULU,TTM,41937374668.0,22.1729,24.899494,1.3207,4.232658,10.521875,42263056668.0,15.1283,4.1509
LULU,2024-10-31 00:00:00,36575122626.0,19.7628,23.039443,1.4633,3.76171,9.07201,36423900626.0,13.4905,3.6463
LULU,2024-07-31 00:00:00,32002967160.0,18.1818,20.75923,1.044,3.335808,7.583987,31504369160.0,11.9814,3.2058
LULU,2024-04-30 00:00:00,45286297536.0,25.3807,29.557377,1.4619,4.763126,10.700716,44445608536.0,17.1833,4.6205
LULU,2024-01-31 00:00:00,57282068040.0,32.0513,57.737913,1.3464,6.292198,16.246319,57359022040.0,24.1829,6.2442
LULU,2023-10-31 00:00:00,49672112894.0,28.49,49.807595,1.5285,5.681647,14.057554,49758155894.0,21.7009,5.6296
LUCK,TTM,1367047954.0,31.8471,nan,nan,1.219627,nan,4012490954.0,12.7235,3.3952
LUCK,2024-12-31 00:00:00,1440946206.0,20.4082,nan,nan,1.246425,nan,3942905206.0,16.9271,3.3206
LUCK,2024-09-30 00:00:00,1725407512.0,55.8659,nan,nan,1.538806,nan,4195120512.0,19.8424,3.6334
LUCK,2024-06-30 00:00:00,2157278734.0,57.8035,25.421053,nan,2.189799,nan,4492102734.0,13.5363,4.0463
LUCK,2024-03-31 00:00:00,2051187426.0,27.933,65.238095,nan,2.167542,nan,4400492426.0,18.2236,4.0437
LUCK,2023-12-31 00:00:00,2142234992.0,28.3286,23.213115,nan,2.378029,50.569648,4779292992.0,17.1506,4.5261
LUCK,2023-09-30 00:00:00,nan,nan,20.342137,nan,nan,10.025736,nan,nan,nan
LUCK,2023-06-30 00:00:00,nan,nan,nan,nan,nan,22.834087,nan,nan,nan
LU,TTM,2430854660.0,nan,nan,nan,0.704856,0.234902,nan,nan,3.2139
LU,2024-09-30 00:00:00,3121569542.0,nan,nan,nan,0.617161,0.261742,nan,nan,3.0403
LU,2024-06-30 00:00:00,1355797399.0,3.0367,nan,nan,0.390141,0.108294,nan,nan,2.29
LU,2024-03-31 00:00:00,5090869480.0,5.3677,19.806049,nan,0.621695,0.189771,nan,nan,2.2501
LU,2023-12-31 00:00:00,1790209685.0,4.029,13.640394,nan,0.391447,0.134801,nan,nan,1.7475
