Symbol,Beta,DayHigh
HG,nan,18.31
HGTY,0.856,10.1
HGV,1.858,42.62
HHH,1.481,74.28
HI,1.447,32.94
HIG,0.969,112.78
HII,0.561,178.29
HIMS,1.35,57.37
HIMX,2.044,11.64
HIW,1.255,29.69
HL,1.905,5.5902
HLI,0.703,176.54
HLIO,0.873,40.35
HLIT,0.89,10.819
HLMN,1.674,10.26
HLN,0.219,10.09
HLNE,1.26,159.425
HLT,1.297,269.84
HLX,2.433,8.2185
HMC,0.436,27.57
HMN,0.325,40.8
HMY,1.303,11.31
HNI,0.885,49.95
HOG,1.478,27.025
HOLX,0.978,64.7
HOMB,1.091,30.117
HON,1.045,212.5
HOOD,2.138,57.87
HOPE,1.142,11.24
HP,1.362,27.21
HPE,1.204,21.975
HPK,0.735,13.965
HPQ,1.065,34.95
HQY,0.547,112.53
HR,0.797,16.68
HRB,0.706,52.99
HRI,2.052,180.26
HRL,0.26,29.8
HRMY,0.795,35.27
HROW,0.688,30.705
HSAI,1.282,20.18
HSBC,0.495,56.705
HSIC,0.909,78.61
HST,1.321,16.81
HSY,0.367,175.29
HTGC,1.301,21.97
HTH,1.138,31.85
HTHT,0.688,37.35
HTLF,0.939,66.86
HTLFP,0.939,25.37
HTZ,2.468,4.57
HUBB,0.918,391.73
HUBG,0.945,43.33
HUBS,1.715,746.8823
HUM,0.564,264.0
HUN,0.972,18.12
HURN,0.597,129.52
HUT,nan,20.3016
HWC,1.29,58.77
HWCPZ,nan,23.93
HWKN,0.817,108.71
HWM,1.336,138.85
HXL,1.305,64.9399
IAC,1.339,46.6705
IAG,nan,6.06
IART,1.177,22.24
IAS,1.433,10.5
IBKR,0.89,227.945
IBM,0.754,264.81
IBN,0.833,28.42
IBOC,0.955,66.36
IBP,1.997,177.01
IBRX,-0.194,3.75
IBTA,nan,69.46
IBTX,1.371,61.32
ICE,1.115,168.485
ICFI,0.568,101.41
ICHR,1.911,35.34
ICL,1.251,6.275
ICLR,1.188,208.95
ICUI,0.637,164.35
IDA,nan,115.1267
IDCC,1.426,218.76
IDT,0.803,50.06
IDXX,1.366,460.38
IDYA,0.811,22.42
IEP,0.738,10.74
IESC,1.518,203.69
IEX,0.968,196.17
IFF,1.203,80.85
IFS,0.822,32.665
IGIC,0.27,26.79
IGT,1.915,18.446
IHG,0.939,128.23
IIPR,nan,74.115
ILMN,1.102,98.7
IMAX,1.215,27.695
IMCR,0.775,30.3541
IMKTA,0.745,64.9
IMO,1.773,72.87
IMVT,0.646,21.66
INCY,0.701,72.9725
INDB,0.789,70.37
INDV,0.201,9.015
INFA,0.987,20.29
INFN,1.634,6.68
INFY,0.636,21.275
ING,1.548,17.32
INGM,nan,24.0
INGR,0.741,128.6
INMD,2.133,19.24
INOD,nan,71.0
INSM,nan,84.8684
INSP,1.318,178.72
INSW,-0.114,37.965
INTA,0.744,69.81
INTC,1.074,26.29
INTR,1.333,5.385
INTU,1.244,582.15
INVA,0.548,18.2642
INVH,1.041,32.28
IONQ,2.403,35.5
IONS,0.346,32.87
IOSP,1.08,104.35
IOT,1.615,55.425
IOVA,0.531,6.09
IP,0.993,56.31
IPAR,1.212,135.87
IPG,1.099,27.585
IPGP,0.954,64.7
IQ,0.029,2.39
IQV,1.481,195.51
IR,1.435,86.87
IRDM,0.646,32.2273
IREN,3.61,12.74
IRM,1.039,94.04
IRON,2.884,55.8
IRS,0.94,14.88
IRT,1.202,20.92
IRTC,nan,128.52
ISRG,1.391,607.35
IT,1.336,503.25
ITCI,0.719,128.77
ITGR,1.128,136.0563
ITRI,1.462,98.9
ITT,1.409,148.67
ITUB,nan,5.75
ITW,1.12,265.87
IVT,-5.816,30.4
IVZ,1.418,18.06
IX,0.868,101.3548
J,0.716,130.406
JAMF,0.385,15.38
JANX,3.159,38.42
JAZZ,0.561,137.37
JBGS,1.089,15.25
JBHT,1.153,169.07
JBI,0.921,8.115
JBL,1.233,167.04
JBLU,1.828,7.51
JBT,1.226,129.29
JCI,1.331,89.26
JD,0.411,43.63
JEF,1.319,67.4773
JHG,1.488,42.98
JHX,1.21,32.69
JJSF,0.648,129.79
JKHY,0.613,171.99
JKS,0.243,24.19
JLL,1.365,273.345
JNJ,0.511,163.51
JNPR,0.862,36.04
JOBY,2.326,7.64
JOE,1.274,47.705
JPM,1.11,269.1955
JSM,nan,19.3591
JWN,2.516,24.36
JXN,1.475,88.28
K,0.381,82.72
KAI,1.284,387.56
KALU,1.331,75.27
KAR,1.528,21.68
KARO,1.032,48.14
KB,0.579,57.93
KBH,1.861,63.52
KBR,0.837,51.095
KC,2.303,22.08
KD,1.947,40.0499
KDP,0.616,34.14
KEN,0.641,33.125
KEP,0.727,7.69
KEX,1.197,106.71
KEY,1.256,17.7
KEYS,1.017,185.23
KFRC,0.894,49.065
KFY,1.577,66.645
KGC,1.266,11.45
KGS,nan,45.61
KHC,0.456,31.295
KIM,1.494,21.74
KKR,1.668,136.86
KKRS,nan,18.83
KLAC,1.271,782.41
KLC,nan,21.135
KLG,nan,20.07
KLIC,1.372,43.515
KMB,0.428,140.6
KMI,0.935,26.81
KMPB,nan,23.6716
KMPR,0.875,65.385
KMT,1.652,22.91
KMX,1.725,86.38
KN,1.419,18.2
KNF,nan,102.78
KNSA,0.312,20.09
KNSL,1.152,444.15
KNTK,0.903,60.105
KNX,0.992,53.595
KO,0.616,71.595
KOF,0.838,88.95
KOS,2.431,3.36
KR,0.463,65.37
KRC,1.035,33.88
KRG,1.293,22.39
KRNT,2.02,25.91
KRO,1.118,8.93
KRP,1.069,15.94
KRUS,1.819,77.1
KRYS,0.842,189.185
KSPI,-0.08,105.4
KSS,1.883,12.2
KT,0.364,17.475
KTB,1.222,91.11
KTOS,1.096,27.22
KVUE,nan,23.44
KVYO,nan,43.85
KW,1.153,8.98
KWR,1.385,147.11
KYMR,2.188,38.9
KYN,1.668,13.02
L,0.828,83.39
LAD,1.666,363.78
LADR,1.972,11.8147
LAMR,1.536,123.2499
LANC,0.364,195.55
LAUR,nan,21.0
LAZ,1.395,52.6617
LB,nan,73.25
LBRDA,1.046,81.43
LBRDK,1.046,82.26
LBRDP,1.046,25.2
LBRT,1.642,18.76
LBTYA,1.097,11.505
LBTYB,1.097,11.0243
LBTYK,1.097,12.06
LC,2.011,13.85
LCID,0.939,3.29
LCII,1.445,107.57
LDOS,0.664,129.23
LEA,1.427,98.425
LECO,1.192,212.9
LEG,1.145,9.935
LEGN,0.177,40.0
LEN,1.666,123.525
LEU,1.179,104.95
LEVI,1.165,18.785
LFST,1.276,7.97
LFUS,1.253,257.5
LGIH,2.032,81.565
LGND,0.948,123.02
LH,1.052,250.81
LHX,0.761,200.18
LI,0.912,28.63
LIF,1.15,47.24
LII,1.104,644.2
LILA,1.032,6.965
LILAK,1.032,6.94
LIN,0.951,465.1667
LINE,nan,54.9
LITE,0.941,79.46
LIVN,1.007,48.28
LKFN,0.677,67.48
LKQ,1.286,42.17
LLY,0.412,894.4
LLYVA,nan,79.63
LLYVK,nan,81.66
LMAT,0.961,101.815
LMND,2.152,36.79
LMT,0.482,443.73
LNC,1.782,39.06
LNG,nan,226.0
LNN,0.671,138.86
LNT,nan,63.3
LNTH,0.444,83.46
LNW,1.724,106.3
LOAR,nan,70.45
LOB,1.673,33.35
LOGI,0.59,104.31
LOMA,1.29,11.97
LOPE,0.736,189.27
LOW,1.105,247.695
LPG,1.021,22.96
LPL,1.075,3.505
LPLA,0.873,384.04
LPX,1.944,102.217
LRCX,1.469,90.22
LRN,0.322,139.2
LSCC,1.402,69.0
LSPD,2.757,13.5
LSTR,0.828,160.305
LTC,0.931,34.975
LTH,1.949,32.9674
LTM,1.796,32.86
LU,0.764,3.2
LUCK,0.759,10.8484
LULU,1.187,366.99
LUMN,1.273,5.05
LUNR,0.92,20.17
LUNRW,nan,8.65
LUV,1.137,31.35
LVS,1.085,45.345
LW,0.715,57.1196
LXP,0.914,8.695
LYB,1.066,78.07
LYFT,2.16,13.52
LYG,1.243,3.4
LYV,1.382,157.75
LZ,1.136,8.931
LZB,1.363,45.35
M,2.093,15.86
MA,1.103,564.8
MAA,0.904,161.18
MAC,2.485,20.51
MAG,1.108,16.69
MAIN,1.286,63.315
MAN,1.436,55.1667
MANH,1.501,186.755
MANU,0.637,14.6876
MAR,1.572,287.14
MARA,5.771,16.335
MAS,1.257,76.31
MASI,1.022,179.035
MAT,0.767,21.91
MATX,1.055,143.92
MBC,1.584,14.8
MBIN,1.16,43.77
MBINM,1.16,26.09
MBINO,1.13,25.2
MBLY,0.243,17.99
MC,1.402,73.73
MCD,0.738,305.96
MCHP,1.495,64.418
MCK,0.521,604.82
MCO,1.311,511.6
MCRI,1.765,93.25
MCW,1.632,7.6059
MCY,0.875,52.77
MD,1.577,17.3232
MDB,1.277,288.99
MDGL,-0.381,355.0
MDLZ,0.551,64.85
MDT,0.857,91.15
MDU,0.595,16.92
MDXG,1.941,8.05
MEDP,1.364,350.0
MELI,1.622,2374.54
MEOH,1.817,45.97
MESO,2.21,17.15
MET,1.064,83.05
META,1.2,703.87
METCL,nan,25.58
MFA,2.162,10.54
MFAN,nan,25.1
MFAO,nan,25.17
MFC,1.059,31.9
MFG,0.392,5.7
MFIC,1.542,14.72
MFICL,1.603,25.71
MGA,1.618,39.0
MGEE,0.75,92.695
MGM,2.209,38.41
MGNI,2.52,18.695
MGRC,0.768,129.93
MGY,1.987,24.73
MHD,0.565,12.15
MHK,1.412,119.3
MHLA,nan,15.05
MHN,0.589,10.51
MHNC,nan,16.7434
MHO,2.289,121.8
MIDD,1.638,170.56
MIR,0.733,16.895
MIRM,0.963,54.234
MIY,0.452,11.63
MKC,0.748,80.36
MKL,0.784,1866.55
MKSI,1.658,108.05
MKTX,1.019,195.03
MLCO,1.039,6.25
MLI,0.992,82.36
MLKN,1.219,22.89
MLM,0.91,511.23
MLNK,1.001,18.84
MLTX,1.279,43.0625
MMC,0.954,231.36
MMI,1.16,38.98
MMM,1.003,149.535
MMS,0.719,66.915
MMSI,0.873,105.94
MMYT,1.286,104.0
MNDY,1.303,313.655
MNKD,1.28,5.855
MNR,nan,16.34
MNSO,0.081,21.6
MNST,0.735,53.36
MO,0.677,55.285
MOBBW,1.367,0.605
MOD,2.309,96.305
MODG,1.703,7.4389
MOH,0.539,295.0
MOMO,0.526,8.38
MORN,1.204,328.7
MOS,1.347,26.85
MP,nan,24.69
MPC,1.397,158.38
MPLX,1.393,54.16
MPW,1.357,5.05
MPWR,1.032,689.775
MQ,1.528,3.94
MQT,0.565,10.375
MQY,0.537,11.95
MRC,1.978,12.79
MRCY,0.791,43.5
MRK,0.396,89.52
MRNA,1.585,35.97
MRTN,0.839,15.09
MRUS,1.11,48.095
MRVI,-0.08,4.3
MRVL,1.395,109.75
MRX,nan,39.31
MS,1.359,135.6
MSA,0.996,159.435
MSC,-0.401,4.2818
MSCI,1.108,579.515
MSFT,0.895,418.048
MSGE,nan,37.27
MSGS,0.661,205.96
MSI,1.024,433.1299
MSM,0.855,83.67
MSTR,3.259,329.0
MT,1.721,28.4
MTB,0.785,198.37
MTCH,1.422,34.03
MTD,1.129,1301.445
MTDR,3.228,56.205
MTG,1.287,24.7
MTH,1.884,75.325
MTN,1.116,160.65
MTRN,1.229,101.127
MTSI,1.71,124.38
MTTR,1.068,5.44
MTX,1.301,71.774
MTZ,1.73,135.025
MU,1.18,103.59
MUA,0.598,11.23
MUC,0.513,11.04
MUE,0.599,10.42
MUFG,0.514,12.97
MUI,0.562,12.1
MUJ,0.49,11.5899
MUR,2.128,28.17
MUSA,0.787,466.77
MVF,0.539,7.32
MVT,0.666,10.93
MWA,1.378,26.88
MXL,1.769,17.6
MYD,0.7,10.8
MYGN,1.888,15.18
MYI,0.496,11.25
MYRG,0.936,131.4
NABL,0.417,10.36
NAMS,-0.056,19.21
NAMSW,-0.056,8.05
NAN,0.459,11.773
NARI,1.028,79.97
NATL,nan,30.63
NAVI,1.454,14.175
NBHC,0.846,43.07
NBIS,0.77,45.8
NBIX,0.334,122.37
NBTB,0.512,47.8
NCLH,2.65,25.68
NCNO,0.648,33.0525
NDAQ,0.997,82.86
NDSN,0.953,219.09
NE,1.002,28.97
NEE,0.577,71.96
NEM,0.534,48.23
NEO,1.23,12.03
NEOG,1.229,10.15
NEP,1.067,10.87
NET,1.121,158.0575
NEU,0.496,549.93
NEXA,1.473,6.14
NEXT,1.277,8.4369
NFE,1.474,12.1816
NFG,0.662,72.99
NFLX,1.274,1032.38
NG,1.117,3.22
NGD,1.639,3.0046
NGG,0.281,61.47
NGVT,1.644,47.33
NHC,0.461,97.67
NHI,1.085,70.69
NI,0.538,40.225
NIC,0.769,119.25
NICE,0.44,157.8725
NIO,1.681,4.69
NJR,0.653,47.12
NKE,1.015,77.99
NLY,1.592,21.88
NMFC,1.201,12.0489
NMFCZ,nan,25.59
NMIH,1.122,35.71
NMM,1.938,45.19
NMR,0.61,6.625
NMRA,nan,1.825
NMRK,1.989,14.6287
NN,1.14,12.73
NNI,0.909,113.51
NNN,1.101,41.52
NOC,0.352,450.03
NOG,1.825,35.0
NOK,0.747,5.03
NOMD,0.782,18.92
NOV,1.648,15.53
NOVT,1.278,145.9
NOW,0.995,967.0
NPO,1.499,208.58
NPWR,0.034,8.2
NRG,1.138,111.51
NRIX,2.143,17.46
NRP,0.526,101.165
NSA,1.054,37.9199
NSC,1.347,248.97
NSIT,1.419,167.4817
NSP,1.145,87.64
NSSC,1.64,25.51
NTAP,1.213,126.96
NTB,1.136,39.88
NTCT,0.596,24.67
NTES,0.825,104.29
NTLA,1.797,12.6299
NTNX,1.174,72.11
NTR,0.952,54.04
NTRA,1.654,168.8812
NTRS,1.095,114.18
NTRSO,1.095,20.75
NTST,0.983,14.66
NU,nan,12.02
NUE,1.611,141.12
NUVL,1.382,83.525
NVAX,2.125,8.54
NVCR,0.622,22.13
NVDA,1.619,141.46
NVEE,1.234,18.9
NVGS,1.455,16.08
NVMI,1.432,275.36
NVO,0.192,89.23
NVR,1.201,7280.0
NVS,0.528,109.78
NVST,1.339,21.74
NVT,1.252,66.72
NWBI,0.643,12.79
NWE,0.505,54.17
NWG,1.211,11.6194
NWL,0.881,6.91
NWN,0.616,41.65
NWS,1.361,33.08
NWSA,1.361,28.97
NX,1.294,21.02
NXE,1.835,5.9
NXPI,1.471,247.9221
NXRT,1.438,39.42
NXST,1.437,156.05
NXT,2.141,48.92
NYAX,-0.304,39.61
NYMTI,1.966,25.24
NYMTL,1.972,22.35
NYMTM,1.972,25.25
NYMTN,1.972,22.8
NYMTZ,1.972,19.7358
NYT,1.001,48.99
O,1.01,57.325
OBDC,nan,15.73
OBDE,nan,14.4
OBK,0.999,39.788
OC,1.459,173.13
OCFC,1.031,18.29
OCFCP,1.031,25.1404
OCSL,1.131,16.14
OCUL,1.218,7.41
ODD,nan,45.17
ODFL,1.056,197.23
OFG,1.018,42.38
OGE,0.767,45.31
OGN,0.721,15.73
OGS,0.706,73.7
OHI,0.968,36.23
OI,1.226,11.845
OII,2.387,24.33
OKE,1.659,99.46
OKLO,-0.33,43.69
OKTA,1.027,96.04
OLED,1.397,158.99
OLLI,0.809,102.97
OLN,1.44,27.85
OLO,1.413,7.2
OLPX,2.449,1.475
OMAB,1.005,83.45
OMC,0.991,83.53
OMCL,0.779,40.05
OMF,1.567,56.19
ON,1.613,56.66
ONB,0.87,24.19
ONBPO,0.87,25.1467
ONBPP,0.87,25.18
ONON,2.308,51.3899
ONTO,1.305,169.005
OPCH,1.353,32.57
OPEN,2.823,1.5
OPK,1.628,1.74
OPRA,0.987,20.67
OR,nan,18.82
ORA,0.568,69.675
ORCL,1.049,176.83
ORI,0.933,36.7
ORLA,1.474,7.09
ORLY,0.938,1314.29
OS,nan,24.99
OSCR,1.73,16.6346
OSIS,1.192,216.61
OSK,1.222,111.4
OSW,2.094,21.28
OTEX,1.129,27.515
OTIS,0.964,99.72
OTTR,0.558,82.27
OUT,1.973,18.43
OVV,2.622,45.32
OWL,1.148,23.34
OXLCL,nan,23.8025
OXLCN,1.147,24.35
OXLCO,1.147,23.09
OXLCP,1.147,24.1967
OXLCZ,nan,24.0
OXM,1.557,73.245
OXSQG,nan,23.2205
OXY,1.579,51.98
OZK,1.191,49.69
OZKAP,1.191,17.899
PAA,1.626,20.77
PAAS,1.372,25.26
PAC,0.991,202.845
PACS,nan,13.49
PAG,1.194,168.775
PAGP,1.56,21.97
PAGS,1.95,8.97
PAM,0.443,83.34
PANW,1.135,199.19
PAR,2.215,66.285
PARA,1.71,11.63
PARAA,1.71,22.865
PATH,0.978,14.38
PATK,1.634,93.99
PAX,0.587,12.37
PAY,1.658,29.4
PAYC,1.158,214.84
PAYO,0.93,10.54
PAYX,0.996,150.15
PB,0.952,77.805
PBA,1.438,36.575
PBF,1.606,24.91
PBH,0.505,86.03
PBI,2.007,10.8499
PBR,0.901,14.95
PCAR,0.928,106.48
PCG,0.989,15.99
PCH,1.19,45.8
PCOR,0.846,84.77
PCT,1.619,10.7226
PCTTU,1.619,11.0
PCTY,0.951,207.51
PCVX,0.983,84.01
PD,1.127,18.43
PDCO,0.885,31.08
PDD,0.657,133.33
PDFS,1.519,24.8282
PDI,nan,19.625
PDM,1.172,7.335
PDO,nan,13.95
PEB,1.85,12.46
PEBO,0.775,32.82
PECO,0.346,35.61
PEG,0.662,84.85
PEGA,1.113,81.615
PEN,0.536,304.11
PENG,1.675,22.31
PENN,2.091,21.5
PEP,0.547,154.55
PFBC,0.971,89.93
PFE,0.574,26.57
PFG,1.222,86.97
PFGC,1.438,84.72
PFH,nan,18.24
PFS,1.061,18.47
PFSI,1.78,102.175
PG,0.445,170.5491
PGNY,1.346,24.2919
PGR,0.421,269.09
PGRE,1.241,4.8
PH,1.451,698.08
PHG,0.798,25.55
PHI,0.398,24.055
PHIN,nan,53.68
PHM,1.688,106.39
PHR,0.966,28.96
PI,1.878,102.404
PII,1.503,46.73
PINC,0.422,18.94
PINS,1.059,39.845
PIPR,1.458,300.77
PLTR,2.811,109.07
PJT,0.658,167.855
PK,2.012,13.09
PKG,0.789,210.72
PKX,1.448,48.67
PL,1.406,5.56
PLAB,1.366,23.1328
PLAY,2.177,24.9
PLD,1.118,121.4506
PLMR,0.378,122.4009
PLNT,1.537,100.42
PLSE,1.854,20.098
PLTK,0.921,7.19
PLUG,1.793,1.725
PLUS,1.096,70.055
PLXS,0.891,141.42
PLYA,1.541,13.35
PM,0.573,154.64
PMT,1.482,14.15
PMTU,nan,25.49
PNC,1.152,192.53
PNFP,1.091,119.02
PNFPP,1.091,25.07
PNR,1.198,95.47
PNW,0.566,91.79
PODD,nan,286.66
PONY,nan,23.88
POOL,1.026,347.24
POR,0.624,44.57
POST,0.609,116.44
POWI,1.11,68.2
POWL,0.864,192.0
POWWP,0.464,21.73
PPBI,1.224,25.05
PPC,0.824,53.73
PPG,1.222,117.8283
PPL,0.852,34.86
PR,4.277,14.585
PRAX,2.668,80.96
PRCT,1.024,67.24
PRDO,1.063,27.78
PRG,2.155,30.07
PRGO,0.539,25.57
PRGS,0.925,56.84
PRH,nan,24.9
PRI,1.108,279.985
PRIM,1.144,69.89
PRK,0.719,166.41
PRKS,1.991,55.06
PRM,nan,11.12
PRMB,1.084,34.53
PRO,1.216,26.55
PRS,nan,23.7827
PRU,1.29,111.6
PRVA,0.88,25.15
PSA,0.736,304.8
PSEC,0.98,4.47
PSFE,1.905,19.91
PSMT,0.855,90.5
PSN,0.726,61.28
PSNY,2.235,1.18
PSO,0.26,17.18
PSTG,1.096,69.3376
PSX,1.353,131.917
PTA,nan,19.9
PTC,1.191,165.92
PTCT,0.624,51.175
PTEN,2.076,8.885
PTGX,2.213,39.9
PTON,1.947,9.09
PTVE,1.236,17.86
PUK,1.207,18.22
PVH,2.06,80.12
PWP,1.588,24.16
PWR,nan,290.9875
PX,0.848,13.095
PYCR,0.531,22.2411
PYPL,1.444,77.46
PZZA,1.184,50.18
QBTS,1.085,8.218
QCOM,1.262,175.43
QCRH,0.979,77.63
QDEL,0.077,41.455
QFIN,0.677,43.27
QGEN,0.36,39.585
QLYS,0.564,140.0
QNST,1.057,21.4
QRTEB,2.619,2.25
QRTEP,2.619,39.95
QRVO,1.409,77.8532
QS,4.449,5.42
QSR,0.954,63.42
QTWO,1.613,91.78
QUBT,2.747,8.64
QXO,2.241,13.22
R,1.286,166.78
RACE,0.952,508.2
RAMP,0.961,33.1
RARE,0.594,45.0
RBA,0.954,104.32
RBC,1.584,370.26
RBCAA,0.556,67.4
RBLX,1.468,63.0
RBRK,nan,72.7
RC,1.5,7.03
RCAT,0.449,8.74
RCB,nan,24.11
RCC,nan,24.5
RCI,0.596,28.27
RCKT,0.981,11.0778
RCL,2.598,246.0
RCUS,0.833,11.5
RDDT,nan,176.505
RDN,1.06,33.32
RDNT,1.793,63.85
RDW,2.241,20.6165
RDY,0.372,13.355
REAL,nan,7.83
REG,1.223,73.59
REGCO,1.223,22.54
REGCP,1.223,23.5
REGN,0.079,704.08
RELX,0.511,49.76
RELY,0.071,25.705
RES,1.582,6.18
REVG,1.561,33.92
REXR,0.967,41.055
REYN,0.497,24.58
REZI,nan,21.7421
RF,1.221,24.19
RGA,0.931,198.915
RGEN,0.988,165.0
RGLD,0.647,151.65
RGTI,1.265,12.34
RGTIW,1.265,4.48
RH,2.425,368.62
RHI,1.218,60.57
RHP,nan,103.4
RIG,2.708,3.64
RIO,0.601,64.49
RIOT,4.229,11.93
RITM,1.792,12.04
RIVN,2.042,13.36
RJF,1.043,156.04
RKLB,1.993,25.93
RKT,2.408,13.5
RL,1.506,287.45
RLI,0.429,75.265
RLJ,1.689,9.67
RLX,0.965,2.69
RMBS,1.254,65.74
RMD,0.701,233.38
RNA,1.001,33.21
RNG,1.014,29.99
RNP,1.367,22.0
RNR,0.428,229.72
RNST,1.045,37.59
ROAD,0.738,77.915
ROCK,1.198,66.58
ROG,0.517,90.24
ROIC,1.465,17.5
ROIV,1.254,10.855
ROK,1.344,304.05
ROKU,2.048,93.7899
ROL,0.759,51.5
ROOT,2.591,112.7563
ROP,1.054,580.4
ROST,1.105,140.04
RPD,0.961,33.24
RPM,1.006,123.9
RPRX,0.489,33.67
RQI,1.547,13.0018
RRC,1.782,39.5
RRR,2.026,53.1
RRX,1.024,136.39
RS,0.899,304.65
RSG,0.751,231.44
RSI,1.756,15.66
RTO,0.514,25.98
RTX,0.549,125.47
RUM,0.506,11.31
RUMBW,0.506,4.205
RUN,2.585,8.7797
RUSHA,1.023,59.01
RUSHB,1.023,55.84
RVLV,2.174,29.845
RVMD,1.452,42.94
RVT,1.38,16.215
RVTY,1.034,115.26
RWTN,nan,24.8816
RWTO,nan,24.8
RXO,1.367,21.3
RXRX,0.859,10.6
RXST,1.182,30.86
RY,0.832,119.915
RYAAY,1.37,46.545
RYAN,nan,66.8
RYN,1.059,26.21
RYTM,2.141,58.45
RZB,0.931,25.03
RZC,nan,26.13
S,0.753,23.0
SA,1.061,12.005
SABR,nan,4.63
SAFE,0.89,17.1199
SAFT,0.19,78.2489
SAH,1.691,72.38
SAIA,1.787,450.24
SAIC,0.656,102.09
SAM,1.056,227.715
SAN,1.32,6.11
SAND,1.127,6.1659
SANM,0.917,89.96
SAP,0.893,288.67
SARO,nan,27.375
SASR,0.952,33.45
SATS,0.719,30.45
SBAC,0.679,214.85
SBBA,nan,25.25
SBCF,1.091,29.39
SBGI,1.535,15.0025
SBH,1.55,9.45
SBLK,0.962,16.09
SBRA,1.236,16.63
SBS,0.475,17.32
SBSW,1.341,3.605
SBUX,0.994,114.675
SCCC,nan,24.6123
SCCD,nan,21.19
SCCO,1.137,97.59
SCHW,0.989,82.535
SCI,0.876,79.68
SCL,0.835,64.674
SCS,1.337,12.74
SCSC,1.432,38.43
SDGR,1.609,24.5
SDHC,nan,24.75
SDRL,1.528,31.44
SE,1.555,133.76
SEB,0.357,2982.93
SEE,1.346,33.3635
SEI,1.364,39.025
SEIC,0.98,82.24
SEM,nan,18.05
SEMR,1.695,16.99
SEPN,nan,6.2225
SEZL,nan,319.99
SF,1.115,107.82
SFB,nan,22.021
SFBS,0.917,90.31
SFL,0.71,9.45
SFM,nan,161.98
SFNC,0.879,22.07
SG,2.383,24.48
SGHC,1.007,8.38
SGML,0.193,11.87
SGRY,2.609,25.83
SHAK,1.861,123.87
SHC,1.919,13.69
SHCO,0.531,7.672
SHEL,0.493,67.57
SHG,0.605,34.0
SHO,1.207,11.33
SHOO,1.081,38.84
SHOP,2.471,125.5
SHW,1.217,353.155
SID,1.945,1.58
SIG,2.11,54.8045
SIGI,0.609,80.0
SIGIP,0.609,17.9
SII,1.42,44.505
SILA,0.207,24.97
SILV,1.22,11.66
SIM,0.314,25.84
SIMO,0.777,60.46
SIRI,1.066,25.37
SITE,1.577,142.19
SITM,1.801,184.99
SJM,0.265,110.86
SJW,0.644,52.87
SKM,0.573,22.85
SKT,1.861,36.5825
SKWD,0.823,50.77
SKX,1.193,65.875
SKY,1.623,104.0
SKYW,1.988,102.79
SLAB,1.16,160.0
SLB,1.527,42.47
SLF,0.944,55.52
SLG,1.798,65.45
SLGN,0.713,55.79
SLM,1.232,32.25
SLMBP,1.232,76.1
SLNO,-1.456,48.495
SLVM,0.978,71.16
SM,4.111,37.025
SMAR,0.745,56.5
SMCI,1.297,62.39
SMFG,0.541,15.62
SMG,1.723,63.212
SMPL,0.649,37.6
SMR,1.522,21.4373
SMTC,1.645,39.4
SMWB,0.992,9.94
SN,nan,113.64
SNA,0.985,341.54
SNAP,0.997,10.8
SNDR,0.881,27.46
SNDX,0.898,16.95
SNEX,0.779,128.23
SNN,0.695,26.17
SNOW,1.073,185.91
SNPS,1.121,493.74
SNRE,nan,47.29
SNV,1.413,54.7
SNX,1.408,143.881
SNY,0.459,54.51
SO,0.521,88.98
SOBO,nan,26.07
SOC,0.346,30.11
SOFI,1.786,15.56
SOJC,nan,22.2993
SOJD,nan,20.72
SOJE,nan,18.55
SOLV,nan,74.72
SON,0.658,47.11
SONO,1.97,12.43
SONY,0.775,25.29
SOUN,2.732,11.39
SOUNW,2.732,5.329
SPB,1.19,79.71
SPG,1.769,187.385
SPGI,1.202,536.055
SPH,0.476,21.99
SPHR,1.391,48.8
SPNS,nan,28.93
SPNT,0.945,14.33
SPOT,1.628,639.012
SPR,1.805,34.66
SPRY,1.246,12.1883
SPSC,0.875,144.97
SPT,1.053,29.26
SPXC,1.293,148.57
SQ,2.479,88.1404
SQM,1.059,40.27
SR,0.597,75.63
SRAD,2.21,22.56
SRCE,0.804,65.6
SRE,0.79,87.51
SREA,nan,23.1099
SRPT,0.748,110.0
SRRK,0.508,40.18
SSB,0.691,102.256
SSD,1.346,171.655
SSL,2.134,4.81
SSNC,1.381,89.5
SSRM,0.844,10.54
SSTK,1.08,26.807
ST,1.231,30.1
STAA,0.627,17.49
STAG,1.089,35.31
STBA,0.826,40.71
STC,1.253,69.52
STE,0.842,221.01
STEL,0.851,29.195
STEP,1.312,62.14
STGW,1.725,6.71
STLA,1.209,14.23
STLD,1.368,135.72
STM,1.194,28.24
STN,0.785,77.175
STNE,2.255,10.45
STNG,0.068,43.0
STR,1.412,20.1
STRA,0.589,104.11
STRL,1.234,127.12
STT,1.449,100.615
STVN,0.56,21.32
STWD,1.736,20.2004
STX,1.091,103.42
STZ,0.89,176.8274
SU,nan,39.965
SUI,0.913,128.25
SUM,1.142,54.07
SUN,1.35,58.258
SUPN,0.898,34.79
SUPV,1.442,15.1399
SUZ,0.46,10.16
SVV,nan,10.38
SW,1.019,53.96
SWI,0.931,18.335
SWK,1.241,90.75
SWKS,1.142,67.82
SWTX,nan,60.2
SWX,0.429,77.43
SXI,1.053,190.46
SXT,0.76,70.19
SYBT,0.869,75.895
SYF,1.631,64.35
